ind_id,n_fertilized,n_examined,density
1,0,30,3
2,1,30,14
3,2,30,14
4,6,30,19
5,2,30,17
6,0,30,8
7,4,30,19
8,0,30,11
9,0,30,7
10,0,30,7
11,0,30,12
12,0,30,9
13,0,30,7
14,0,30,8
15,0,30,4
16,0,30,7
17,6,30,19
18,0,30,8
19,0,30,8
20,0,30,13
21,0,30,14
22,0,30,3
23,1,30,13
24,0,30,7
25,1,30,9
26,0,30,5
27,0,30,12
28,6,30,18
29,0,30,10
30,0,30,2
31,11,30,22
32,0,30,3
33,0,30,14
34,1,30,9
35,0,30,5
36,0,30,11
37,3,30,18
38,0,30,4
39,1,30,11
40,0,30,6
41,0,30,8
42,0,30,12
43,1,30,14
44,0,30,11
45,1,30,5
46,1,30,10
47,0,30,14
48,2,30,14
49,1,30,13
50,0,30,11
51,0,30,11
52,0,30,5
53,0,30,13
54,0,30,4
55,0,30,10
56,0,30,8
57,0,30,6
58,2,30,13
59,0,30,13
60,0,30,5
61,0,30,11
62,0,30,11
63,1,30,6
64,2,30,16
65,2,30,13
66,3,30,16
67,0,30,6
68,1,30,11
69,0,30,4
70,0,30,5
71,0,30,12
72,5,30,13
73,0,30,8
74,0,30,6
75,0,30,4
76,1,30,14
77,1,30,12
78,0,30,14
79,2,30,13
80,0,30,5
81,0,30,2
82,1,30,16
83,2,30,16
84,1,30,10
85,0,30,11
86,0,30,10
87,3,30,18
88,0,30,3
89,0,30,12
90,0,30,6
91,0,30,6
92,1,30,9
93,0,30,6
94,0,30,8
95,0,30,1
96,0,30,6
97,2,30,15
98,0,30,9
99,0,30,5
100,0,30,8
